Title,Artist
"Choosin' Texas","Ella Langley"
"End of Beginning","Djo"
"Love Me Not","Ravyn Lenae"
"ONE TRACK MIND","Naïka"
"Babydoll","Dominic Fike"
"Manchild","Sabrina Carpenter"
"Good Luck, Babe!","Chappell Roan"
"Heat Waves","Glass Animals"
"Homewrecker","sombr"
"Sweet Home Alabama","Lynyrd Skynyrd"
"Pumped Up Kicks","Foster The People"
"Fame is a Gun","Addison Rae"
"Lovefool","The Cardigans"
"Wonderwall","Oasis"
"Catch & Release (Deepend Remix)","Matt Simons"
"Back On 74","Jungle"
"Save Tonight","Eagle-Eye Cherry"
"Potential","sombr"
"Take My Breath (Single Version)","The Weeknd"
"Virtual Insanity (Remastered 2013)","Jamiroquai"
"Love Shack","The B-52's"
"Life in the Fast Lane (2013 Remaster)","Eagles"
"Messy","Lola Young"
"New Religion","Bebe Rexha"
"melodrama","disiz"
"FEVER DREAM","Alex Warren"
"Beautiful Things","Benson Boone"
"APT.","ROSÉ"
"Another Love","Tom Odell"
"12 to 12","sombr"
"WHERE IS MY HUSBAND!","RAYE"
"Man I Need","Olivia Dean"
"Dai Dai","Shakira"
"Save Me Tonight","Jennifer Lopez"
"Ordinary","Alex Warren"
"Feel Good","Charlotte Cardin"
"Take on Me","a-ha"
"Lush Life","Zara Larsson"
"No Broke Boys","Disco Lines"
"Dracula (JENNIE Remix)","Tame Impala"
"back to friends","sombr"
"Espresso","Sabrina Carpenter"
"Beauty And A Beat","Justin Bieber"
"Jamaican (Bam Bam)","HUGEL"
"Highway to Hell","AC/DC"
"NUEVAYoL","Bad Bunny"
"Bad Dreams","Teddy Swims"
"Billie Jean","Michael Jackson"
"Beat It","Michael Jackson"
"As It Was","Harry Styles"
"Talk To You (ft. 54 Ultra)","ANOTR"
"Shape of You","Ed Sheeran"
"Flowers","Miley Cyrus"
"Elizabeth Taylor","Taylor Swift"
"Anxiety","Doechii"
"Locked out of Heaven","Bruno Mars"
"Azizam","Ed Sheeran"
"Abracadabra","Lady Gaga"
"Gata Only","FloyyMenor"
"Somewhere Only We Know","Keane"
"Pink Pony Club","Chappell Roan"
"Upside Down","Jaden Bojsen"
"Running Up That Hill (A Deal With God)","Kate Bush"
"Stargazing","Myles Smith"
"Mystical Magical","Benson Boone"
"Can't Stop","Red Hot Chili Peppers"
"Iris","The Goo Goo Dolls"
"Losing My Religion","R.E.M."
"The Less I Know The Better","Tame Impala"
"Si No Estás","Iñigo Quintero"
"Show Me Love","WizTheMc"
"Water","Tyla"
"Livin' On A Prayer","Bon Jovi"
"Tattoo","Loreen"
"greedy","Tate McRae"
"Paradise","Coldplay"
"A Bar Song (Tipsy)","Shaboozey"
"Another Brick in the Wall, Pt. 2","Pink Floyd"
"Sapphire","Ed Sheeran"
"I Ain't Worried","OneRepublic"
"Walking On A Dream","Empire Of The Sun"
"undressed","sombr"
"The Adults Are Talking","The Strokes"
"Don't Stop Believin'","Journey"
"Paint The Town Red","Doja Cat"
"Houdini","Dua Lipa"
"The Look","Metronomy"
"DESPECHÁ","ROSALÍA"
"Like a Prayer","Madonna"
"Lose Control","Teddy Swims"
"Shut Up and Dance","WALK THE MOON"
"Dreams (2004 Remaster)","Fleetwood Mac"
"Belong Together","Mark Ambor"
"Ailleurs","Orelsan"
"Kids","MGMT"
"Riptide","Vance Joy"
"Say It Right","Nelly Furtado"
"Sex on Fire","Kings Of Leon"
"Murder On The Dancefloor","Sophie Ellis-Bextor"
"Blessings","Calvin Harris"
"Free Your Mind","Prospa"
"Feel It Still","Portugal. The Man"
"How to Save a Life","The Fray"
"One Day / Reckoning Song (Wankelmut Remix) (Radio Edit)","Asaf Avidan"
"Gnarly","KATSEYE"
"iloveitiloveitiloveit","Bella Kay"
"Start Me Up (Remastered 2009)","The Rolling Stones"
"Bring Your Love","Madonna"
"You Shook Me All Night Long","AC/DC"
"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson"
"Golden Brown","The Stranglers"
"Don't Worry (with Ray Dalton) (Radio Edit)","Madcon"
"Headphones On","Addison Rae"
"Home","Edward Sharpe & The Magnetic Zeros"
"Free Bird","Lynyrd Skynyrd"
"Jump (2015 Remaster)","Van Halen"
"CUFF IT","Beyoncé"
"By the Way","Red Hot Chili Peppers"
"Kiss Me","Sixpence None The Richer"
"Way down We Go","Kaleo"
